"word_id","word","stem_word_id"
"1","the",
"2","of",
"3","and",
"4","to",
"5","in",
"6","a",
"7","is",
"8","that",
"9","for",
"10","as",
"11","it",
"12","with",
"13","on",
"14","be",
"15","by",
"16","was",
"17","not",
"18","or",
"19","this",
"20","are",
"21","i",
"22","at",
"23","from",
"24","he",
"25","which",
"26","an",
"27","have",
"28","his",
"29","but",
"30","you",
"31","were",
"32","we",
"33","they",
"34","had",
"35","all",
"36","one",
"37","has",
"38","their",
"39","will",
"40","been",
"41","can",
"42","there",
"43","other",
"44","if",
"45","would",
"46","her",
"47","more",
"48","may",
"49","when",
"50","its",
"51","no",
"52","these",
"53","new",
"54","she",
"55","such",
"56","so",
"57","who",
"58","time",
"59","than",
"60","any",
"61","do",
"62","what",
"63","some",
"64","also",
"65","about",
"66","only",
"67","into",
"68","out",
"69","two",
"70","my",
"71","up",
"72","them",
"73","him",
"74","first",
"75","said",
"76","see",
"77","state",
"78","our",
"79","under",
"80","should",
"81","made",
"82","could",
"83","after",
"84","then",
"85","over",
"86","between",
"87","most",
"88","your",
"89","me",
"90","work",
"91","s",
"92","where",
"93","each",
"94","very",
"95","through",
"96","now",
"97","year",
"98","did",
"99","years","97"
"100","use",
"101","those",
"102","many",
"103","shall",
"104","like",
"105","well",
"106","same",
"107","must",
"108","being",
"109","because",
"110","used","100"
"111","before",
"112","people",
"113","general",
"114","part",
"115","how",
"116","states","77"
"117","even",
"118","during",
"119","both",
"120","number",
"121","system",
"122","much",
"123","case",
"124","per",
"125","way",
"126","three",
"127","make",
"128","upon",
"129","public",
"130","section",
"131","life",
"132","p",
"133","however",
"134","act",
"135","water",
"136","government",
"137","good",
"138","day",
"139","while",
"140","high",
"141","order",
"142","long",
"143","law",
"144","just",
"145","united",
"146","man",
"147","without",
"148","world",
"149","us",
"150","does",
"151","right",
"152","court",
"153","service",
"154","great",
"155","within",
"156","national",
"157","c",
"158","information",
"159","company",
"160","here","46"
"161","found",
"162","own",
"163","back",
"164","against",
"165","given",
"166","know",
"167","development",
"168","another",
"169","b",
"170","down",
"171","since",
"172","power",
"173","data",
"174","school",
"175","university",
"176","american",
"177","take",
"178","small",
